Individual,Species,MigStatus,Site,PercentAg,AgCategory,Buffered,Percent_Total_Veg,SPEI,Event,Julian,DaysIntoSeason,Sunrise,Time,Sex,Age,Wing,Culmen,Head,NareTip,DiagTarsus,Fat,Mass,PecScore,PecSizeBig,PecSizeSmall,PecSizeBest,PecSize25,OverallNeonic,Flonicamid,Clothianidin,Thiamethoxam,Imidacloprid,Thiacloprid,Uric,Tri,Beta,Lipemia,Hemolysis,Yellow,Biomass,Diversity,Permanence,DominantCrop,DominantLandUse,NearestCropDistance_m,NearestCropType,Dist_Closest_Wetland_m,MaxBufferWidth_m,PercentBufferAroundWetland,Percent_Exposed_Shoreline,Max_Flock_Size,WaterNeonicDetection,InvertPesticideDetection,PlasmaDetection,AnyDetection,WaterOrInvertDetection
123200523,Lesser Yellowlegs,Migratory,Church,52.681628,Moderate,N,10,-1.75,Fall 2021,200,7,5:57,9:10,M,Adult,160,38.3,69,29.6,54.1,2,113.8,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Wheat,Agriculture,32,Wheat,325,0,0,100,66,N,NA,N,N,N
123200520,Pectoral Sandpiper,Migratory,Silver,65.7703007,Moderate,N,90,-1.75,Fall 2021,201,8,5:59,13:30,M,NA,150,39.7,56.9,24.2,32.1,2,109.5,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,25,Soybean,16,190,100,10,43,N,NA,N,N,N
123200517,Lesser Yellowlegs,Migratory,Silver,65.7703007,Moderate,N,90,-1.75,Fall 2021,202,9,6:00,17:30,F,Adult,166,37.8,69.4,30.4,58.4,4,146.2,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,25,Soybean,16,190,100,10,19,N,NA,N,N,N
123200518,Pectoral Sandpiper,Migratory,Silver,65.7703007,Moderate,N,90,-1.75,Fall 2021,202,9,6:00,13:05,M,NA,137,29.9,55.6,23.4,29.5,2,91.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,1420,2.52,0.46,Slight,Slight,None,NA,NA,Permanent,Soybean,Agriculture,25,Soybean,16,190,100,10,19,N,NA,N,N,N
123200519,Pectoral Sandpiper,Migratory,Silver,65.7703007,Moderate,N,90,-1.75,Fall 2021,202,9,6:00,10:00,M,NA,141,27.5,54.3,21.9,29.6,1,77.8,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,25,Soybean,16,190,100,10,19,N,NA,N,N,N
123200516,Killdeer,Resident,Jared,73.0084349,Moderate,N,16,-1.51,Fall 2021,206,12,6:12,11:03,M,NA,173,20.2,52.5,13.9,39.6,0,99,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Semipermanent,Soybean,Agriculture,46,Soybean,200,60,100,40,67,Y,NA,N,Y,Y
256178420,Pectoral Sandpiper,Migratory,Jared,73.0084349,Moderate,N,16,-1.51,Fall 2021,206,12,6:12,7:50,F,NA,134,27.8,51.9,22.2,27.1,0,60.3,NA,NA,NA,NA,NA,1.525,0,0,0,1.525,0,NA,NA,NA,NA,NA,NA,NA,NA,Semipermanent,Soybean,Agriculture,46,Soybean,200,60,100,40,67,Y,NA,Y,Y,Y
256178430,Pectoral Sandpiper,Migratory,Jared,73.0084349,Moderate,N,16,-1.51,Fall 2021,206,12,6:12,7:40,F,NA,129,25.9,49.3,20.7,28.3,0,52.5,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Semipermanent,Soybean,Agriculture,46,Soybean,200,60,100,40,67,Y,NA,N,Y,Y
123200515,Lesser Yellowlegs,Migratory,Jared,73.0084349,Moderate,N,16,-1.51,Fall 2021,207,13,6:13,6:07,F,Adult,163,39.4,71,31.2,54.5,0,98.2,NA,NA,NA,NA,NA,0.325,0,0,0.325,0,0,1090,1.26,0.63,None,Slight,OnePlus,NA,NA,Semipermanent,Soybean,Agriculture,46,Soybean,200,60,100,40,54,Y,NA,Y,Y,Y
109471918,Marbled Godwit,Resident,Freeman1,23.2023011,Low,N,100,2.07,Spring 2022,113,0,6:28,16:50,M,NA,235,101.1,145.1,87.4,75.1,3,389.4,4,4.6,NA,-4.6,-4.6,4.9,0,4.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Temporary,Grassland,Grassland,50,Soybean,73,0,0,100,47,NA,NA,Y,Y,N
123200501,Lesser Yellowlegs,Migratory,Freeman2,15.8898305,Low,Y,100,2.07,Spring 2022,113,0,6:28,15:53,M,Adult,170,37.4,68.7,30.8,55.2,1,104.2,2,4.8,NA,-4.8,-4.8,1.425,0,1.425,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Temporary,Grassland,Grassland,210,Soybean,32,0,0,100,12,NA,NA,Y,Y,N
123200502,Wilsons Phalarope,Resident,Freeman1,23.2023011,Low,N,100,2.07,Spring 2022,114,1,6:26,11:40,M,NA,124,29.2,56.1,27.3,31.6,0,43.1,1,4.7,NA,-4.7,-4.7,0.275,0,0,0.275,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Temporary,Grassland,Grassland,50,Soybean,73,0,0,100,9,NA,NA,Y,Y,N
109471916,American Avocet,Resident,Freeman3,24.6948357,Low,N,60,2.07,Spring 2022,115,2,6:25,12:40,M,NA,225,92.3,130.3,77.8,89.9,0,320.9,1,5.3,NA,-5.3,-5.3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Seasonal,Grassland,Grassland,26,Soybean,10,0,0,40,28,N,NA,N,N,N
109471917,Greater Yellowlegs,Migratory,Freeman3,24.6948357,Low,N,60,2.07,Spring 2022,115,2,6:25,11:20,F,NA,200,60.2,99.6,49,67,1,236.5,2,4.4,NA,-4.4,-4.4,2,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Seasonal,Grassland,Grassland,26,Soybean,10,0,0,40,28,N,NA,Y,Y,N
123200503,Lesser Yellowlegs,Migratory,Freeman3,24.6948357,Low,N,60,2.07,Spring 2022,115,2,6:25,15:30,F,Adult,165,34.6,65.1,28.3,48.2,0,103.5,2,3.4,NA,-3.4,-3.4,13.625,0,1.125,12.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Seasonal,Grassland,Grassland,26,Soybean,10,0,0,40,28,N,NA,Y,Y,N
123200504,Lesser Yellowlegs,Migratory,Freeman3,24.6948357,Low,N,60,2.07,Spring 2022,115,2,6:23,16:05,M,Adult,157,39.4,69.9,31.3,48.2,0,96.9,2,4.4,NA,-4.4,-4.4,2.6,0,1.325,0,1.275,0,NA,NA,NA,NA,NA,NA,NA,NA,Seasonal,Grassland,Grassland,26,Soybean,10,0,0,40,28,N,NA,Y,Y,N
123200505,Lesser Yellowlegs,Migratory,WoodLake1,46.346783,Moderate,N,20,1,Spring 2022,116,3,6:23,14:05,M,Adult,159,34.3,63.2,26.6,50.7,1,90.5,2,4.5,NA,-4.5,-4.5,73.2,0,7.35,63.75,2.1,0,NA,NA,NA,NA,NA,NA,NA,NA,Temporary,Soybean,Agriculture,0,Soybean,10,0,0,45,50,Y,NA,Y,Y,Y
123200506,Lesser Yellowlegs,Migratory,WoodLake1,46.346783,Moderate,N,20,1,Spring 2022,116,3,6:23,16:16,M,Adult,160,35.7,66.8,29.5,50.7,0,92.9,2,4.4,NA,-4.4,-4.4,10.1,0,1.25,7.55,1.3,0,NA,NA,NA,NA,NA,NA,NA,NA,Temporary,Soybean,Agriculture,0,Soybean,10,0,0,45,50,Y,NA,Y,Y,Y
123200507,Lesser Yellowlegs,Migratory,WoodLake1,46.346783,Moderate,N,20,1,Spring 2022,116,3,6:23,16:16,F,Adult,168,35.9,67,29.3,55.4,0,109.5,2,4.4,NA,-4.4,-4.4,9.725,0,1.5,8.225,0,0,644,1.9,0.76,None,Slight,OnePlus,NA,NA,Temporary,Soybean,Agriculture,0,Soybean,10,0,0,45,50,Y,NA,Y,Y,Y
123200508,Lesser Yellowlegs,Migratory,WoodLake2,44.6391753,Moderate,N,100,1,Spring 2022,116,3,6:23,17:55,M,Adult,158,37,68,31.1,53.5,0,95.6,1,5,NA,-5,-5,0.5,0,0,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Temporary,Grassland,Grassland,16,Soybean,25,0,0,100,50,Y,NA,Y,Y,Y
123200509,Lesser Yellowlegs,Migratory,WoodLake2,44.6391753,Moderate,N,100,1,Spring 2022,117,4,6:21,12:45,F,Adult,164,34.4,64.5,27.6,51,0,81.3,1,6.6,NA,-6.6,-6.6,3.15,0,0,3.15,0,0,534,1.26,0.19,Slight,Slight,None,NA,NA,Temporary,Grassland,Grassland,16,Soybean,25,0,0,100,32,Y,NA,Y,Y,Y
123200510,Lesser Yellowlegs,Migratory,WoodLake2,44.6391753,Moderate,N,100,1,Spring 2022,117,4,6:21,12:45,M,Adult,151,34.3,64.7,27.5,49.7,0,80.5,1,7.5,NA,-7.5,-7.5,0.225,0,0,0.225,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Temporary,Grassland,Grassland,16,Soybean,25,0,0,100,32,Y,NA,Y,Y,Y
123200511,Lesser Yellowlegs,Migratory,WoodLake2,44.6391753,Moderate,N,100,1,Spring 2022,117,4,6:21,14:30,M,Adult,161,33.6,63.5,26.1,48.8,0,91.2,2,3.6,NA,-3.6,-3.6,2.725,0,1.05,1.675,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Temporary,Grassland,Grassland,16,Soybean,25,0,0,100,32,Y,NA,Y,Y,Y
123200512,Lesser Yellowlegs,Migratory,WoodLake2,44.6391753,Moderate,N,100,1,Spring 2022,117,4,6:21,15:30,M,Adult,159,34.7,65.9,27.3,52.6,0,88.9,1,4.9,NA,-4.9,-4.9,3.55,0,0.775,2.775,0,0,1137,2.18,1.53,OnePlus,None,Slight,NA,NA,Temporary,Grassland,Grassland,16,Soybean,25,0,0,100,32,Y,NA,Y,Y,Y
123200513,Wilsons Phalarope,Resident,Bieber,59.9832916,Moderate,N,60,2.22,Spring 2022,120,7,6:27,17:00,F,NA,131,32.8,60.2,29,32.2,0,55.7,2,4.8,NA,-4.8,-4.8,5.075,0,0,5.075,0,0,1473,3.44,0.47,OnePlus,None,None,NA,NA,Permanent,Grassland,Grassland,20,Alfalfa,20,100,90,10,34,N,NA,Y,Y,N
123200514,Wilsons Phalarope,Resident,Bieber,59.9832916,Moderate,N,60,2.22,Spring 2022,120,7,6:27,17:30,F,NA,136,34.1,60.9,30.4,34.8,0,59.2,1,5.5,NA,-5.5,-5.5,0.275,0,0,0.275,0,0,1354,3.74,NA,TwoPlus,None,None,NA,NA,Permanent,Grassland,Grassland,20,Alfalfa,20,100,90,10,34,N,NA,Y,Y,N
123200536,Wilsons Phalarope,Resident,Bieber,59.9832916,Moderate,N,60,2.22,Spring 2022,120,7,6:27,18:00,F,NA,133,34.6,60.3,30.7,34.3,0,55.8,2,5.1,NA,-5.1,-5.1,0.8,0,0,0.8,0,0,1170,3.33,0.3,TwoPlus,Slight,None,NA,NA,Permanent,Grassland,Grassland,20,Alfalfa,20,100,90,10,34,N,NA,Y,Y,N
123200537,Wilsons Phalarope,Resident,Stan,27.7207392,Moderate,Y,5,2.22,Spring 2022,121,8,6:24,14:20,F,NA,131,32.2,56.6,29,33.1,0,49.2,0,7.2,NA,-7.2,-7.2,5.55,0,0,5.55,0,0,1483,1.92,1.29,OnePlus,None,None,NA,NA,Permanent,Grassland,Grassland,134,Corn,390,0,0,100,188,N,NA,Y,Y,N
123200538,Wilsons Phalarope,Resident,Stan,27.7207392,Moderate,Y,5,2.22,Spring 2022,121,8,6:24,14:50,F,NA,137,34.1,60.1,30.8,32.2,3,69.9,3,3,NA,-3,-3,0.675,0,0,0.675,0,0,614,1.71,1.16,Slight,None,None,NA,NA,Permanent,Grassland,Grassland,134,Corn,390,0,0,100,188,N,NA,Y,Y,N
258116698,Semipalmated Sandpiper,Migratory,Stan,27.7207392,Moderate,Y,5,2.22,Spring 2022,121,8,6:24,12:30,M,NA,98,17.4,38.5,13.6,21.6,0,27.9,2,6.4,3.6,-6.4,-6.4,0.25,0,0,0.25,0,0,63,0.12,0.09,OnePlus,Slight,Slight,NA,NA,Permanent,Grassland,Grassland,134,Corn,390,0,0,100,188,N,NA,Y,Y,N
258116699,Semipalmated Sandpiper,Migratory,Stan,27.7207392,Moderate,Y,5,2.22,Spring 2022,121,8,6:24,12:15,F,NA,97,18.3,37.8,14.7,22.5,0,26.2,2,6.1,3.8,-6.1,-6.1,140.375,0,12.75,120.75,6.875,0,1389,1.95,0.85,Slight,None,None,NA,NA,Permanent,Grassland,Grassland,134,Corn,390,0,0,100,188,N,NA,Y,Y,N
SEPA1,Semipalmated Sandpiper,Migratory,Stan,27.7207392,Moderate,Y,5,2.22,Spring 2022,121,8,6:24,13:30,M,NA,97,16.8,37.4,13.9,21.7,0,27.9,2,5.9,3.4,-5.9,-5.9,120.225,0,6.9,110,3.325,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Grassland,Grassland,134,Corn,390,0,0,100,188,N,NA,Y,Y,N
123200539,Wilsons Phalarope,Resident,Bieber,59.9832916,Moderate,N,60,2.22,Spring 2022,122,9,6:24,16:30,F,NA,139,36.7,65,33.6,35,0,67.6,2,5.7,NA,-5.7,-5.7,0.35,0,0,0.35,0,0,1156,1.41,0.82,None,OnePlus,None,NA,NA,Permanent,Grassland,Grassland,20,Alfalfa,20,100,90,10,30,N,NA,Y,Y,N
123200540,Wilsons Phalarope,Resident,Bieber,59.9832916,Moderate,N,60,2.22,Spring 2022,123,10,6:22,13:15,F,NA,135,33.6,60.6,30.6,33.8,0,62.4,2,4.2,NA,-4.2,-4.2,4.15,0,0,4.15,0,0,478,0.96,1.24,Slight,None,None,NA,NA,Permanent,Grassland,Grassland,20,Alfalfa,20,100,90,10,29,N,NA,Y,Y,N
123200541,Wilsons Phalarope,Resident,Bieber,59.9832916,Moderate,N,60,2.22,Spring 2022,123,10,6:22,14:45,F,NA,136,34.3,60.6,30.6,35.8,0,58.1,0,7.9,NA,-7.9,-7.9,0.375,0,0,0.375,0,0,547,1.65,0,Slight,None,None,NA,NA,Permanent,Grassland,Grassland,20,Alfalfa,20,100,90,10,29,N,NA,Y,Y,N
123200542,Wilsons Phalarope,Resident,Bieber,59.9832916,Moderate,N,60,2.22,Spring 2022,123,10,6:22,15:20,F,NA,140,33.2,60.5,30.8,33.9,0,60.2,3,3.9,NA,-3.9,-3.9,7.4,0,0,7.4,0,0,716,1.7,1.03,Slight,None,None,NA,NA,Permanent,Grassland,Grassland,20,Alfalfa,20,100,90,10,29,N,NA,Y,Y,N
123200543,Wilsons Phalarope,Resident,Bieber,59.9832916,Moderate,N,60,2.22,Spring 2022,123,10,6:22,15:20,F,NA,136,35,61.8,31.5,33.8,0,60.3,0,5.1,NA,-5.1,-5.1,12.875,0,0,12.875,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Grassland,Grassland,20,Alfalfa,20,100,90,10,29,N,NA,Y,Y,N
123200544,Wilsons Phalarope,Resident,Bieber,59.9832916,Moderate,N,60,2.22,Spring 2022,123,10,6:22,15:20,F,NA,134,35.2,62.9,31.7,33,0,62.1,1,5.4,NA,-5.4,-5.4,0.4,0,0,0.4,0,0,651,1.4,2.45,Slight,None,None,NA,NA,Permanent,Grassland,Grassland,20,Alfalfa,20,100,90,10,29,N,NA,Y,Y,N
1232-00547,Killdeer,Resident,RoadWPA,36.0244233,Moderate,N,100,1.78,Spring 2023,114,2,6:40,17:47,M,NA,167,19.1,48.8,12.6,37.3,0,97.4,2,5.25,4.75,-5.25,-5.25,0.3,0,0,0.3,0,0,620,2.16,0.22,OnePlus,TwoPlus,Slight,0.2456,4,Permanent,Grassland,Grassland,10,Barley,240,33.4,100,27,63,N,Y,Y,Y,Y
1603-40801,Greater Yellowlegs,Migratory,RoadWPA,36.0244233,Moderate,N,100,1.78,Spring 2023,114,2,6:40,16:10,M,NA,194,54.8,91.9,45.2,58.1,1,148.7,2,5.05,4.95,-5.05,-5.05,0,0,0,0,0,0,593,2.78,0.33,Slight,ThreePlus,OnePlus,0.2456,4,Permanent,Grassland,Grassland,10,Barley,240,33.4,100,27,63,N,Y,N,Y,Y
1232-00548,Killdeer,Resident,RoadWPA,36.0244233,Moderate,N,100,1.78,Spring 2023,115,3,6:38,16:30,M,NA,160,20.5,51.5,14.3,38.1,0,87.8,1,6.1,4.1,-6.1,-6.1,0,0,0,0,0,0,1473,2.19,0.48,Slight,OnePlus,Slight,0.2456,4,Permanent,Grassland,Grassland,10,Barley,240,33.4,100,27,26,N,Y,N,Y,Y
1232-00549,Killdeer,Resident,Huesers,75.1006711,High,N,12,0.56,Spring 2023,120,8,6:29,16:40,F,NA,164,23.1,52,12.8,37.8,0,124.6,2,5.38,4.4,-5.38,-5.38,0,0,0,0,0,0,795,8.15,0.62,Slight,OnePlus,None,0.1084,5,Permanent,Wheat,Agriculture,40,Wheat,176,120,100,100,32,N,Y,N,Y,Y
1094-71901,Willet,Resident,Huesers,75.1006711,High,N,12,0.56,Spring 2023,121,9,6:27,16:30,F,NA,217,61.2,109.5,43.2,62.8,1,237.5,2,5.65,NA,-5.65,-5.65,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.1084,5,Permanent,Wheat,Agriculture,40,Wheat,176,120,100,100,25,N,Y,N,Y,Y
1232-00550,Longbilled Dowitcher,Migratory,Huesers,75.1006711,High,N,12,0.56,Spring 2023,122,10,6:25,12:30,F,NA,151,67.7,98.6,61.6,37.8,0,102.6,2,4.6,4,-4.6,-4.6,0,0,0,0,0,0,405,1.96,0.48,None,TwoPlus,None,0.1084,5,Permanent,Wheat,Agriculture,40,Wheat,176,120,100,100,16,N,Y,N,Y,Y
1094-71902,Willet,Resident,RoadWPA,36.0244233,Moderate,N,100,1.78,Spring 2023,123,11,6:24,14:30,M,NA,214,58.5,100,45.5,63,0,228.1,1,6.45,NA,-6.45,-6.45,0.8,0,0.4,0.4,0,0,1232,1.48,0.76,OnePlus,ThreePlus,NA,0.2456,4,Permanent,Grassland,Grassland,10,Barley,240,33.4,100,27,102,N,Y,Y,Y,Y
1094-71903,Willet,Resident,RoadWPA,36.0244233,Moderate,N,100,1.78,Spring 2023,123,11,6:24,17:50,F,NA,221,63.5,101.5,49.6,63.4,1,318.8,3,5.2,NA,-5.2,-5.2,0.35,0,0.35,0,0,0,996,2.66,0.46,Slight,ThreePlus,None,0.2456,4,Permanent,Grassland,Grassland,10,Barley,240,33.4,100,27,102,N,Y,Y,Y,Y
1232-00551,Longbilled Dowitcher,Migratory,RoadWPA,36.0244233,Moderate,N,100,1.78,Spring 2023,123,11,6:24,10:15,M,NA,146,62.4,90.5,56.8,39.2,0,100,2,5.5,4.05,-5.5,-5.5,0,0,0,0,0,0,1103,2.27,0.39,Slight,ThreePlus,None,0.2456,4,Permanent,Grassland,Grassland,10,Barley,240,33.4,100,27,102,N,Y,N,Y,Y
1232-00552,Longbilled Dowitcher,Migratory,RoadWPA,36.0244233,Moderate,N,100,1.78,Spring 2023,123,11,6:24,17:50,M,NA,145,63.9,91,55.1,39.4,0,93.6,2,5.1,4.6,-5.1,-5.1,0,0,0,0,0,0,660,3.25,0.15,Slight,ThreePlus,Slight,0.2456,4,Permanent,Grassland,Grassland,10,Barley,240,33.4,100,27,102,N,Y,N,Y,Y
1232-00553,Longbilled Dowitcher,Migratory,RoadWPA,36.0244233,Moderate,N,100,1.78,Spring 2023,123,11,6:24,19:30,M,NA,139,61.5,92,56.2,38,0,111.2,2,5,3.1,-5,-5,0,0,0,0,0,0,1439,3.23,0.03,OnePlus,ThreePlus,Slight,0.2456,4,Permanent,Grassland,Grassland,10,Barley,240,33.4,100,27,102,N,Y,N,Y,Y
